member_set,method_name,method_type,mAP__trainval_gallery,mAP__valonly_gallery,mAP__mean_across_protocols,mAP__delta_protocols,rank1__trainval_gallery,rank1__valonly_gallery,rank1__mean_across_protocols,rank1__delta_protocols,gain_vs_best_single__trainval_gallery,gain_vs_best_single__valonly_gallery,gain_vs_best_single__mean_across_protocols,gain_vs_best_single__delta_protocols,oracle_gap_mAP__trainval_gallery,oracle_gap_mAP__valonly_gallery,oracle_gap_mAP__mean_across_protocols,oracle_gap_mAP__delta_protocols
DINOv2-Base,DINOv2-Base,single,0.6551543540781494,0.5412830915921301,0.5982187228351397,0.11387126248601931,0.8285714285714286,0.5522388059701493,0.690405117270789,0.27633262260127933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DINOv2-Base,embedding_concat,fusion,0.6551542514477949,0.5412830915921301,0.5982186715199624,0.11387115985566487,0.8285714285714286,0.5522388059701493,0.690405117270789,0.27633262260127933,-1.0263035443713875e-07,0.0,-5.1315177218569374e-08,-1.0263035443713875e-07,1.0263035443713875e-07,0.0,5.1315177218569374e-08,1.0263035443713875e-07
DINOv2-Base,oracle,oracle,0.6551543540781494,0.5412830915921301,0.5982187228351397,0.11387126248601931,0.8285714285714286,0.5522388059701493,0.690405117270789,0.27633262260127933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DINOv2-Base,score_fusion,fusion,0.6551543540781494,0.5412830915921301,0.5982187228351397,0.11387126248601931,0.8285714285714286,0.5522388059701493,0.690405117270789,0.27633262260127933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
