member_set,method_name,method_type,mAP__trainval_gallery,mAP__valonly_gallery,mAP__mean_across_protocols,mAP__delta_protocols,rank1__trainval_gallery,rank1__valonly_gallery,rank1__mean_across_protocols,rank1__delta_protocols,gain_vs_best_single__trainval_gallery,gain_vs_best_single__valonly_gallery,gain_vs_best_single__mean_across_protocols,gain_vs_best_single__delta_protocols,oracle_gap_mAP__trainval_gallery,oracle_gap_mAP__valonly_gallery,oracle_gap_mAP__mean_across_protocols,oracle_gap_mAP__delta_protocols
MegaDescriptor-L,MegaDescriptor-L,single,0.41464486014837715,0.456369285343045,0.4355070727457111,-0.04172442519466785,0.7428571428571429,0.3582089552238806,0.5505330490405117,0.3846481876332623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MegaDescriptor-L,embedding_concat,fusion,0.4146448320759615,0.456369285343045,0.43550705870950324,-0.04172445326708352,0.7428571428571429,0.3582089552238806,0.5505330490405117,0.3846481876332623,-2.8072415669821993e-08,0.0,-1.4036207834910996e-08,-2.8072415669821993e-08,2.8072415669821993e-08,0.0,1.4036207834910996e-08,2.8072415669821993e-08
MegaDescriptor-L,oracle,oracle,0.41464486014837715,0.456369285343045,0.4355070727457111,-0.04172442519466785,0.7428571428571429,0.3582089552238806,0.5505330490405117,0.3846481876332623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MegaDescriptor-L,score_fusion,fusion,0.41464486014837715,0.456369285343045,0.4355070727457111,-0.04172442519466785,0.7428571428571429,0.3582089552238806,0.5505330490405117,0.3846481876332623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
