id,filepath,stability_jaguar_only,stability_bg_only,is_bg_dominant,bg_minus_jaguar_stability
Kamaikua,train_0589.png,0.3085373640060425,-0.2437659353017807,False,-0.5523032993078232
Estella,train_0430.png,0.7522625923156738,0.16502073407173157,False,-0.5872418582439423
Solar,train_1742.png,0.812903881072998,0.1549743264913559,False,-0.6579295545816422
Benita,train_0389.png,0.6982320547103882,0.341096431016922,False,-0.3571356236934662
Jaju,train_0560.png,0.609613299369812,0.03635193780064583,False,-0.5732613615691662
Pixana,train_1583.png,0.7096858024597168,-0.16487646102905273,False,-0.8745622634887695
Marcela,train_1061.png,0.6972585916519165,-0.07177868485450745,False,-0.769037276506424
Medrosa,train_0059.png,0.6212879419326782,0.44498738646507263,False,-0.1763005554676056
Ariely,train_0257.png,0.6114386320114136,0.08720635622739792,False,-0.5242322757840157
Katniss,train_0708.png,0.707388162612915,0.12456139922142029,False,-0.5828267633914948
