id,filepath,stability_jaguar_only,stability_bg_only,is_spurious,spurious_margin
Kamaikua,train_0589.png,0.3052133321762085,0.21414071321487427,False,-0.09107261896133423
Estella,train_0430.png,0.5731798410415649,0.06597588956356049,False,-0.5072039514780045
Solar,train_1742.png,0.2614611089229584,0.08896170556545258,False,-0.1724994033575058
Benita,train_0389.png,0.6760830283164978,-0.03409251943230629,False,-0.7101755477488041
Jaju,train_0560.png,0.3840756118297577,0.11705607175827026,False,-0.2670195400714874
Pixana,train_1583.png,0.44038981199264526,0.1835486739873886,False,-0.25684113800525665
Marcela,train_1061.png,0.39444878697395325,0.10352064669132233,False,-0.2909281402826309
Medrosa,train_0059.png,0.2692618668079376,0.3031916916370392,True,0.03392982482910156
Ariely,train_0257.png,0.5581467151641846,0.15571245551109314,False,-0.40243425965309143
Katniss,train_0708.png,0.4449385404586792,0.1207595020532608,False,-0.3241790384054184
