model,explainer,pair_type,complexity,faith_gap,faith_random,faith_topk,sanity
EVA-02,GradCAM,easy_pos,0.525 ± 0.192,0.031 ± 0.083,0.817 ± 0.086,0.787 ± 0.091,-0.014 ± 0.102
EVA-02,GradCAM,hard_neg,0.827 ± 0.131,-0.057 ± 0.126,0.935 ± 0.155,0.992 ± 0.153,0.005 ± 0.116
EVA-02,GradCAM,hard_pos,0.724 ± 0.219,-0.009 ± 0.096,0.892 ± 0.114,0.901 ± 0.122,0.002 ± 0.108
EVA-02,IG,easy_pos,0.612 ± 0.034,0.046 ± 0.060,0.816 ± 0.083,0.770 ± 0.104,-0.000 ± 0.003
EVA-02,IG,hard_neg,0.618 ± 0.035,-0.005 ± 0.091,0.936 ± 0.156,0.941 ± 0.198,0.000 ± 0.003
EVA-02,IG,hard_pos,0.612 ± 0.032,0.020 ± 0.067,0.867 ± 0.093,0.847 ± 0.130,0.000 ± 0.003
