condition,run_name,train_k,val_k,id_balanced_mAP,pairwise_AP,rank1,sim_gap,best_epoch
closed_curated_traink_1_valk_1_p4,closed_curated_traink_1_valk_1_p4,1,1,0.6624003654192968,0.9452324742052104,0.9385964912280702,0.8279372318647802,30
closed_curated_traink_1_valk_50_p4,closed_curated_traink_1_valk_50_p4,1,50,0.6959120670815879,0.961102549519037,0.9603658536585366,0.8515180565882474,24
closed_keep_all,closed_keep_all,1,50,0.6788071440500534,0.9489416617681488,0.9573170731707317,0.8595156343653798,26
closed_curated_traink_3_valk_1_p4,closed_curated_traink_3_valk_1_p4,3,1,0.6780867303922707,0.9508288184783585,0.9342105263157895,0.8440026585012674,28
closed_curated_traink_3_valk_3_p4,closed_curated_traink_3_valk_3_p4,3,3,0.7049459353819366,0.9574448559488413,0.9591836734693877,0.8487341646105051,28
closed_curated_traink_5_valk_1_p4,closed_curated_traink_5_valk_1_p4,5,1,0.6580302210167984,0.9502081348421147,0.9298245614035088,0.8451083861291409,26
closed_curated_traink_8_valk_1_p4,closed_curated_traink_8_valk_1_p4,8,1,0.6798270608871709,0.951751221877419,0.9429824561403509,0.8338575754314661,17
