experiment_name,experiment_group,gallery_protocol,method_name,method_type,member_set,n_members,mAP,rank1,best_single_mAP,gain_vs_best_single,oracle_mAP,oracle_rank1,oracle_gap_mAP,run_dir,run_name
eva_convnext_megadescriptor_weighted_globalminmax_sq,kaggle_ensemble,valonly_gallery,oracle,oracle,EVA-02+ConvNeXt-V2+MegaDescriptor-L,3,0.7874898487910047,0.8964401294498382,0.6852964489760209,0.1021933998149837,0.7874898487910047,0.8964401294498382,0.0,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_convnext_megadescriptor_weighted_globalminmax_sq,eva_convnext_megadescriptor_weighted_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,EVA-02,single,EVA-02+MiewID+ConvNeXt-V2,3,0.7398314981799344,0.929878048780488,0.7398314981799344,0.0,0.8544555258495345,0.9573170731707316,0.1146240276696001,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,MiewID,single,EVA-02+MiewID+ConvNeXt-V2,3,0.7061458763277152,0.8689024390243902,0.7398314981799344,-0.0336856218522192,0.8544555258495345,0.9573170731707316,0.1483096495218193,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,ConvNeXt-V2,single,EVA-02+MiewID+ConvNeXt-V2,3,0.6836154143145579,0.8780487804878049,0.7398314981799344,-0.0562160838653765,0.8544555258495345,0.9573170731707316,0.1708401115349767,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,score_fusion,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8365243005721749,0.9420731707317072,0.7398314981799344,0.0966928023922404,0.8544555258495345,0.9573170731707316,0.0179312252773596,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,embedding_concat,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8267076322257897,0.9420731707317072,0.7398314981799344,0.0868761340458552,0.8544555258495345,0.9573170731707316,0.0277478936237448,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,oracle,oracle,EVA-02+MiewID+ConvNeXt-V2,3,0.8544555258495345,0.9573170731707316,0.7398314981799344,0.1146240276696001,0.8544555258495345,0.9573170731707316,0.0,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,valonly_gallery,EVA-02,single,EVA-02+MiewID+ConvNeXt-V2,3,0.6852964489760209,0.7669902912621359,0.6852964489760209,0.0,0.8122667183876786,0.9320388349514565,0.1269702694116576,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,valonly_gallery,MiewID,single,EVA-02+MiewID+ConvNeXt-V2,3,0.6334386197444956,0.8122977346278317,0.6852964489760209,-0.0518578292315253,0.8122667183876786,0.9320388349514565,0.178828098643183,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
eva_mega_convnext_evaheavy_globalminmax_sq,kaggle_ensemble,valonly_gallery,ConvNeXt-V2,single,EVA-02+MiewID+ConvNeXt-V2,3,0.6255164287964786,0.7831715210355987,0.6852964489760209,-0.0597800201795423,0.8122667183876786,0.9320388349514565,0.1867502895912,/Users/MicheleMarschner/Documents/Uni/WiSe_2025_26/Applied CV/jaguar_project/experiments/round_2/kaggle_ensemble/eva_mega_convnext_evaheavy_globalminmax_sq,eva_mega_convnext_evaheavy_globalminmax_sq
