run_name,gallery_protocol,model_a,model_b,n_queries,both_correct,only_a_correct,only_b_correct,both_wrong,fraction_both_correct,fraction_only_a_correct,fraction_only_b_correct,fraction_both_wrong,fraction_disagree
eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,MiewID,328,277,28,8,15,0.8445121951219512,0.08536585365853659,0.024390243902439025,0.04573170731707317,0.10975609756097561
eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,DINO-Small,328,278,27,7,16,0.8475609756097561,0.08231707317073171,0.021341463414634148,0.04878048780487805,0.10365853658536585
