query_label,queries,best_single_ap_mean,best_fusion_ap_mean,best_single_rank1_mean,best_fusion_rank1_mean,delta_ap,delta_rank1,run_name,gallery_protocol,best_single_name,best_fusion_name
Guaraci,2,0.29135509777483504,0.7746752033060351,0.0,1.0,0.4833201055312001,1.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Guaraci,2,0.29135509777483504,0.7692141622902632,0.0,1.0,0.47785906451542814,1.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Pollyanna,6,0.4233334638825202,0.8908670967664382,1.0,1.0,0.46753363288391797,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.8572013809307116,1.0,1.0,0.43386791704819144,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.8467994525270136,1.0,1.0,0.4234659886444934,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.8467994525270136,1.0,1.0,0.4234659886444934,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.8409465797667756,1.0,1.0,0.41761311588425537,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Guaraci,2,0.29135509777483504,0.7036139335177347,0.0,1.0,0.4122588357428997,1.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.8240114649120858,1.0,1.0,0.4006780010295656,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.8210536197238318,1.0,1.0,0.39440860339252937,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.810387980930805,1.0,1.0,0.3870545170482848,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Pollyanna,6,0.4233334638825202,0.7925108425792988,1.0,1.0,0.36917737869677864,0.0,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.7791796892005132,1.0,1.0,0.355846225317993,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.7799049288910623,1.0,1.0,0.35325991255975986,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Overa,8,0.4266450163313025,0.768431992950492,1.0,1.0,0.34178697661918955,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.7644391277192788,1.0,1.0,0.3377941113879763,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Pollyanna,6,0.4233334638825202,0.75977922439187,1.0,1.0,0.33644576050934977,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
